                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0303,                0.58054,                0.94469,                   1.19,                0.54578,                0.94855,                0.98039,                0.91733,                0.94166,                0.65427,                 1.0425,                0.56277,                0.93965,                 1.2061,                0.53312,                0.94791,              0.0072775,              0.0072775,              0.0072775
                     58,                0.98846,                0.56573,                0.93239,                 1.1453,                0.54666,                0.93432,                0.98949,                0.93578,                0.95199,                0.69487,                0.87975,                 0.5112,                0.93042,                 1.0703,                0.39805,                0.95728,               0.007228,               0.007228,               0.007228
                     59,                 1.0152,                 0.5703,                0.93808,                 1.1836,                0.54532,                0.93875,                0.98067,                 0.9307,                0.94385,                0.69971,                0.90986,                0.50288,                0.92336,                0.97058,                0.43572,                0.91988,              0.0071785,              0.0071785,              0.0071785
                     60,                   1.02,                0.58467,                0.93528,                 1.1746,                0.57615,                0.93636,                0.98521,                0.88073,                0.94818,                0.68448,                0.95561,                0.71417,                0.93173,                 1.0407,                0.56081,                0.93951,               0.007129,               0.007129,               0.007129
                     61,                 1.0107,                  0.558,                0.93327,                 1.1858,                0.55967,                0.93905,                0.98544,                0.92661,                0.93955,                0.66802,                0.96246,                0.53648,                0.94618,                 1.0477,                0.53624,                0.95652,              0.0070795,              0.0070795,              0.0070795
                     62,                0.99185,                 0.5541,                0.93648,                 1.1646,                0.52598,                0.93979,                0.97766,                0.90826,                0.94275,                0.66888,                0.94409,                0.57286,                0.92639,                  1.094,                0.52115,                0.93724,                0.00703,                0.00703,                0.00703
                     63,                 1.0194,                0.57104,                 0.9334,                 1.1831,                0.57179,                0.93029,                0.99028,                0.93465,                0.95257,                0.69232,                0.98039,                0.49653,                0.93587,                 1.0537,                0.44586,                 0.9402,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0043,                0.54981,                0.93455,                 1.1315,                0.54124,                 0.9331,                0.98061,                0.92809,                0.94847,                0.71394,                0.94164,                0.50395,                0.92825,                0.97964,                0.49362,                 0.9302,               0.006931,               0.006931,               0.006931
                     65,                 1.0272,                0.55069,                0.93056,                 1.1573,                0.51535,                0.92562,                0.98073,                0.94495,                 0.9455,                0.66765,                  1.017,                0.51514,                0.94575,                 1.1214,                0.40311,                0.95546,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0106,                0.54539,                0.93495,                 1.1667,                0.54523,                0.93791,                0.99018,                0.92494,                0.94431,                0.68318,                 0.9819,                0.60779,                0.93419,                 1.0699,                0.63869,                0.92946,               0.006832,               0.006832,               0.006832
